Filename,Orig_UCIQE,Orig_UIQM,CLAHE_UCIQE,CLAHE_UIQM,UCM_UCIQE,UCM_UIQM
100_img_.png,61.54523270984659,13.26423966212108,66.76650915353378,16.75089326531971,76.36506698578718,23.662676320475647
10139.png,56.26994563239442,10.599702569452882,63.99995037921409,12.615498042943036,75.1247636739747,24.349654788161477
10151.png,59.750297322737076,15.320340582863965,70.9621462413618,17.521555291657975,76.77098484764788,21.226642347580803
101_img_.png,68.74724415533181,15.636333302401871,69.57322888848523,16.464519747170623,72.23936719441647,24.081451585835815
102_img_.png,69.26858010927624,20.94201754688629,69.49851161622874,20.166997046952353,74.25928083406619,23.164738264817533
104_img_.png,70.81659663980403,9.327674926290193,71.060502694876,11.215387180077041,75.84774104649314,19.457125296429044
105_img_.png,53.04590594025961,12.28908052222998,59.93280114900033,14.715988684471595,77.20177491515032,23.46964462959662
106_img_.png,62.978894347720185,13.258587161421975,74.46674656406262,21.99051153218618,76.67322039359638,24.998541015577217
107_img_.png,58.2007371778115,11.294929687949187,66.92643112095082,12.209601176820238,75.69691488671972,18.30212620896288
108_img_.png,72.99785995668586,11.142440382580995,72.99680034969083,12.112558215184688,72.86824865494212,23.678768210762442
10909.png,66.20497342148123,10.91226816385496,70.59921827029983,14.833774488826924,77.99835756322551,22.880476290725188
10945.png,48.71429618137458,6.947307423950425,62.98715294869594,8.939257026343999,78.90725627648573,19.937914277373718
109_img_.png,67.64619063842957,9.999507136744691,71.6625818342275,14.381893429075166,75.5880941300142,21.433913364386378
10_img_.png,59.83668456910669,10.211557726532119,65.49952122771536,13.20891672328009,74.66853797284813,14.523261226394954
11052.png,68.95320876042014,15.582451138586096,76.33206755383125,19.98170532175137,79.80482555690926,22.4834689761806
11064.png,67.06748506265942,15.763195231613945,78.29990813980926,17.524315950903787,81.62758196809631,20.588216071817214
111_img_.png,48.52183099989656,12.896315427052555,58.81738732808222,13.879962292092525,74.97986112896366,23.88403410871058
112_img_.png,50.956260405354655,9.260469409013464,60.56932015313429,11.739401422600816,76.95129961149344,22.570144645496736
11374.png,65.00385641916499,13.270116976998894,70.46014957002127,16.910546857125546,76.78749053598663,25.167150472098818
11398.png,66.44314134849056,15.440644026267725,72.63833878100137,17.90675703263146,78.25115373487698,18.802761401704313
113_img_.png,71.92215818897995,18.71297583502991,71.83163738215542,17.968503348888188,75.25921266407973,19.976905561313743
114_img_.png,74.67662140776724,19.489779818988914,74.64995711153684,19.752652364913565,74.89508993932654,24.233576988067078
115_img_.png,71.42193037114569,12.614892537908498,72.66552188121425,14.78921008893044,75.30731268718425,19.68957393941074
116_img_.png,71.96873684901664,15.207892528149833,73.0617209499373,20.947259208923903,75.03809479055117,24.282529639335596
117_img_.png,58.86531688350575,12.91171853089943,70.11205825348696,19.965546603305732,76.41651850554759,25.175566355870366
118_img_.png,51.99227097731751,10.72519947610056,68.45733584704055,15.65938980024744,79.00411168733301,23.434452921545084
11_img_.png,78.25805959568541,14.74082596447163,78.10007668713509,18.49710113019787,78.5098182767911,19.075331683868907
120_img_.png,46.784222506914354,9.308913589846494,62.159727337501124,13.054437744115587,77.25816501672627,22.442389965113946
121_img_.png,71.85255905738198,19.863574208868336,72.66796174375426,21.359905691050972,74.2109106953632,25.20303799459016
1225.png,77.54696015852852,17.160333083243547,77.50356446579133,20.88610477778925,79.21587251232057,20.657391163152496
12290.png,67.80921065087806,11.769706011783747,69.42560429293728,15.501978433887372,74.9284351153153,24.37506731447862
12299.png,71.70886685374259,13.399640466486348,71.41238666855959,17.732480681655357,73.84877624860302,23.04357852601767
122_img_.png,48.00411023266628,8.937294581562961,62.28175422225569,13.640163748808785,77.51472241119912,22.59015807059142
12324.png,72.30823319771983,15.43879265631053,72.02006953533503,18.66998424388139,74.54203710386517,22.965961051589655
12336.png,74.02804757955539,11.969340371787986,73.65180212095947,16.32894972462893,74.27649786308444,22.27066660104406
12348.png,67.32975180395566,12.415252520360768,69.52303710178056,17.223893564774325,75.07855800221742,22.59085461236676
123_img_.png,48.468796723470376,12.09452103341799,64.94216268688142,19.232652712663295,78.5261291631228,25.718818751704546
12422.png,57.11331173619486,11.99430455879141,67.25923463948882,17.921856625486075,72.85416201920789,23.587399734174852
12433.png,70.76978874731171,17.656237507558945,71.02153509679965,18.476250581004933,74.73273741828815,23.03866179799713
12445.png,70.84209432072002,15.99224536968029,71.36852864312242,18.005517388356044,73.79660160355307,23.533811023473383
124_img_.png,48.512847993948945,8.158281565331096,65.52767966361704,13.710967529682193,77.81006250249781,18.316648453073583
125_img_.png,52.63984456637907,12.943155024051107,66.91437449689242,20.666384743474413,75.96364286063788,25.890722244272524
