Filename,Orig_UCIQE,Orig_UIQM,UDCP_UCIQE,UDCP_UIQM,RCP_UCIQE,RCP_UIQM,IBLA_UCIQE,IBLA_UIQM
100_img_.png,61.54523270984659,13.26423966212108,73.83043330573713,13.804060567715771,72.7567225930906,18.664219865817902,74.01353443693245,14.441125843719876
10139.png,56.26994563239442,10.599702569452882,69.3699147154332,13.959252610992436,78.31267398042894,19.721442175732687,61.57144035283631,12.28472856779394
10151.png,59.750297322737076,15.320340582863965,71.56852442556523,14.11317544876013,76.82493908527367,21.653458693107687,63.19755122099614,16.888903201834793
101_img_.png,68.74724415533181,15.636333302401871,72.27278901287222,15.83992607736391,73.10783281393797,17.368119787811764,70.40948092520948,17.196854749732672
102_img_.png,69.26858010927624,20.94201754688629,72.34113813151691,19.335188740902538,76.77521269828827,21.84824748456649,70.17049878372701,22.299012177953152
104_img_.png,70.81659663980403,9.327674926290193,73.35453663460127,8.1942249141721,84.29124582895629,20.147218000826744,73.36590724817934,10.125106963368586
105_img_.png,53.04590594025961,12.28908052222998,62.40575487658683,9.98839931588511,79.95380093189624,29.81677656079877,68.77150020462591,13.241448085076708
106_img_.png,62.978894347720185,13.258587161421975,74.57185485391118,15.973983192394977,80.13701043478248,21.4053669380486,68.83318108916987,13.451963176334784
107_img_.png,58.2007371778115,11.294929687949187,74.90722055625277,10.522961593406988,78.63308120060648,23.712062425707582,61.49218529101775,12.217135012807836
108_img_.png,72.99785995668586,11.142440382580995,74.22171048928286,14.656761065136394,73.27470048168283,14.277907154833894,73.28958410939713,12.37427796410209
10909.png,66.20497342148123,10.91226816385496,75.20296449006628,12.434386783357006,75.77620994049568,17.119144644130518,75.17653361051848,11.965396388185615
10945.png,48.71429618137458,6.947307423950425,78.1776274616598,12.341056625996425,77.93631229657272,13.930836646810485,63.45133708801659,7.6709708112935635
109_img_.png,67.64619063842957,9.999507136744691,72.46929665645406,13.637585239387219,79.00016693227964,21.970082826339905,72.91352201578218,10.158432861226288
10_img_.png,59.83668456910669,10.211557726532119,74.52088924268253,9.895006644721649,80.92058992995774,25.025019530288958,71.28597001473861,10.916483358775064
11052.png,68.95320876042014,15.582451138586096,77.27163101587087,14.993890788542998,82.31438812832172,22.692098049398627,76.96907983208399,16.974874454388747
11064.png,67.06748506265942,15.763195231613945,74.64024187192314,13.22131631041718,83.75554826645299,25.27789924503595,67.35987534406604,16.698595194186822
111_img_.png,48.52183099989656,12.896315427052555,73.73249261927639,14.585934428597826,63.25088655833412,19.956588710938917,69.64124441427013,13.661037156752856
112_img_.png,50.956260405354655,9.260469409013464,75.00975728418398,12.727836798977608,59.037541746044354,11.396985104624894,73.21074441904325,10.126578568143035
11374.png,65.00385641916499,13.270116976998894,74.55121871328414,21.1520088213957,77.03567074555058,15.106279968303745,73.88612445194114,14.669399647601676
11398.png,66.44314134849056,15.440644026267725,72.64690236914406,16.15277909971561,78.31306185672868,21.422367990455847,72.96861292670364,16.897058466216123
113_img_.png,71.92215818897995,18.71297583502991,73.68809199357297,12.84220830089889,80.10979986243987,28.774680456644585,74.40479159613575,19.940654908029146
114_img_.png,74.67662140776724,19.489779818988914,74.4918241843303,21.28721451935649,75.2279023465634,25.906180542261804,75.26376011826326,20.77047368013148
115_img_.png,71.42193037114569,12.614892537908498,76.09812829364795,12.844446902296731,79.13001975659886,24.349615514344713,75.5346962010176,13.359890563080063
116_img_.png,71.96873684901664,15.207892528149833,74.65574045150281,19.470217449089873,76.49834884219118,19.59386879808451,73.98186545686353,16.612833205284957
117_img_.png,58.86531688350575,12.91171853089943,75.08033768425757,16.573843150744985,62.84775744979145,14.919958558721554,73.74536488263291,14.154499940392546
118_img_.png,51.99227097731751,10.72519947610056,75.63103979651274,17.705654963229353,68.1846091884529,13.257132972056871,75.31607342268167,11.658378902978875
11_img_.png,78.25805959568541,14.74082596447163,77.00573245843727,15.508113316969606,82.66272677101053,23.65409114334807,78.50552976607088,15.797417944058138
120_img_.png,46.784222506914354,9.308913589846494,72.4267951422258,12.641494794997346,54.67874329655571,11.353892322172474,74.0123617863828,10.089711003754626
121_img_.png,71.85255905738198,19.863574208868336,74.50062852692922,20.197346569296222,77.13512815034977,20.55493158529351,72.6685309269521,21.2363739474798
1225.png,77.54696015852852,17.160333083243547,75.94553879292619,18.021332202942894,79.1859697280557,25.365504271246987,78.06196695944622,17.97029731579273
12290.png,67.80921065087806,11.769706011783747,71.54186646144764,9.868171244328892,74.41665967970343,21.526192427294536,71.03416859318116,11.486214274261247
12299.png,71.70886685374259,13.399640466486348,72.37486155901684,13.177596600695246,74.86701610357855,20.98960081717918,71.89606202048736,13.290058437035727
122_img_.png,48.00411023266628,8.937294581562961,73.19657298922091,15.12600702420937,67.48900583516104,11.845652990539476,73.28570098284158,9.717456726615463
12324.png,72.30823319771983,15.43879265631053,73.29485777057307,15.410306685850541,76.14120670503004,20.745963763939866,72.66751481293547,15.406496313877641
12336.png,74.02804757955539,11.969340371787986,75.96331429739159,11.400782168651405,75.43022995480216,15.026314382994164,74.61314214725672,12.858683133706887
12348.png,67.32975180395566,12.415252520360768,71.97852199004473,9.47613791597184,74.6743960618472,23.66873725132276,71.73178470220901,12.077103391001767
123_img_.png,48.468796723470376,12.09452103341799,74.2109459386914,18.054879968065695,51.767937297430564,13.766583945887724,73.6987351173002,13.389396923513045
12422.png,57.11331173619486,11.99430455879141,70.30319100444306,11.297044251698127,72.83325596704952,15.842071335151674,62.97290310211419,13.04306200100859
12433.png,70.76978874731171,17.656237507558945,74.27848716706981,18.045993035812547,74.67159271848239,15.651749724284503,73.2940502879125,19.136621779002063
12445.png,70.84209432072002,15.99224536968029,73.26628271592794,18.685258175331633,74.30702191819867,19.910610477415364,73.43424377281947,17.293321231139327
124_img_.png,48.512847993948945,8.158281565331096,73.40612611633085,12.824521264042868,59.87663713582258,10.761094701068853,75.12039659017546,8.909502882029784
125_img_.png,52.63984456637907,12.943155024051107,73.72710445168562,19.422022227515562,55.443464697537415,14.471012207249283,73.41753464331468,14.81269209405394
12900.png,72.49246050704062,12.789157178942055,73.64524435989091,11.256392577074124,73.90828935384849,14.583833400520142,73.46124343256899,13.899069640097462
129_img_.png,54.66955152281518,10.445621312471639,67.84596261705235,13.23364398477674,81.49947504593159,24.7174152097698,66.65033603617317,11.454952139260161
130_img_.png,54.21327305130444,9.991489282346661,75.00173506787469,16.327375338146762,63.803747685671304,13.133065248890805,74.60966851216993,10.921768022334401
131_img_.png,48.301013757594234,8.56823607908619,71.52240980337565,13.288270879234153,61.22889880306612,12.441926364396258,72.65199872769904,9.246680889547951
133_img_.png,52.01152549917503,9.906452032405785,73.76753660602394,18.136995853811637,57.89848463398597,11.845912401771905,73.00011025534285,10.877537927414162
135_img_.png,46.62554957546301,8.76766144710426,72.37785751581445,14.076078517348673,74.85029634445219,17.33258760086011,72.99706435404943,9.632274845783037
136_img_.png,66.94811566030945,7.98686128240567,71.75684311091725,9.821554934372323,74.66384672369063,18.698725798687775,71.75149986798861,8.401348232218622
137_img_.png,49.05913284387473,11.07850726721195,71.94788859959105,14.693519011153297,55.017850288497414,13.615513963146496,72.46099382790511,12.246548015400876
138_img_.png,45.12500922152585,7.493755711879453,71.87891593207753,10.848202135375335,66.46077554050325,12.42614464564824,72.73331804706402,8.105326205379889
139_img_.png,53.67882080323127,9.993179019902211,74.0603405031697,11.508536257692096,80.54828489629071,25.749813447936447,71.13342672904395,10.986534909634827
13_img_.png,51.99643559886128,8.950933545754761,72.35592238624805,15.096657294910921,80.06976801398105,21.005176842098138,73.45901334002913,9.879267464921119
1407.png,75.71806826068493,15.286322951205557,75.38799684705334,14.250305469493927,78.64093096029036,22.170733532234554,77.75324194387395,16.448452657451963
140_img_.png,71.03893518537618,13.291563920567484,72.5775980683907,12.383849820759417,74.47256707464294,18.644048926780712,73.48266128057907,14.52389663601143
141_img_.png,52.45121021123365,11.656891086966436,73.50908656614264,17.227433890963702,60.46094770039993,15.448619820010249,73.04452766473447,12.614558778183113
142_img_.png,49.5623325455572,10.324430688996765,69.80025105419706,10.515184952254955,78.36883817927675,22.17008499092637,72.6521477714153,11.294325740417063
143_img_.png,55.47892082739472,9.219203691813343,71.74354734611764,11.749829761237958,81.41429282167476,24.377983717786897,73.39590291334942,9.741683735050193
144_img_.png,51.42814950817052,10.419709477828516,72.32889239543182,15.939045580568399,71.15731362260907,13.820276638864069,72.20649107577349,11.426443925610268
145_img_.png,59.63118671232888,10.42707170150328,72.18122568679536,14.983795455129904,69.48937655430419,11.61899433455376,70.57540569501262,11.425870913513561
146_img_.png,46.766016198713835,10.383880022493683,72.7047726892726,13.983219732619812,73.4967053939481,11.28977916126818,69.63511839896351,11.105817202505218
148_img_.png,50.52855429893299,10.84364817669385,71.92178680327714,14.827510574497198,58.53271214947614,13.027784798011163,72.49719118275125,11.914010194116194
1491.png,70.592073057897,12.349942537920478,75.85683234754569,12.262743371679745,79.62279941926879,22.65643784516919,75.32226667330994,13.03336330662021
149_img_.png,74.47960426996676,14.227565208525549,78.97749792727328,15.709898996618847,82.86239657215893,26.91700714523757,75.10564540132097,15.035037186414504
14_img_.png,73.62181678192427,16.374615529851653,75.51836715694606,16.773716956056766,85.13340049571048,26.612414164603717,76.85429811473956,17.46970384501629
15001.png,59.940517504798,9.299837942560083,63.36960494964323,11.08023643364681,62.560530540860285,11.011510476094777,74.36152733681152,10.14471631125787
15003.png,61.32952791312199,8.583200059745032,64.70827921203616,10.529396650091897,61.59568739414051,9.276753457955344,74.54134778718313,9.400081281940519
15045.png,50.67736895934864,14.263274882843128,73.49709450557467,22.600403388301196,57.604424180959754,16.608983502370663,70.07385392086384,15.801219657551876
15094.png,56.6754356380747,15.335874452298103,73.7361895944339,18.90503153859439,57.90521268358483,17.35618728435619,72.8473535052313,16.913854882795132
150_img_.png,47.78042921679891,9.026714494726432,71.94345882157442,14.606597859432028,65.5036125772863,13.5003272863582,73.57513584266938,9.765632787812052
15113.png,58.01705133578604,8.67114479681926,72.82782531709947,14.27046187959022,69.41088493428207,12.036260220036686,71.93174481506098,9.493621785809834
15136.png,51.156999709620784,12.241060618885925,73.72143940175428,15.992867062173636,55.47506755748887,15.10886470269352,71.46829251215364,13.407308443182846
151_img_.png,46.43255700652667,6.703308593600208,72.08080973755455,10.639779224036298,73.67656359153622,14.047423157297048,72.58122672003324,7.27402350996417
152_img_.png,68.8695776289946,12.050547438763887,73.35406208044552,15.496764155777091,71.80152449323471,19.95837434499602,72.21068189277725,13.822905024573037
1539.png,69.58610858982443,12.998013064743102,78.57802114362298,14.417310358777737,86.54673688742245,24.45579535870246,78.27616950565019,14.255241170826071
153_img_.png,56.18431044321445,7.322764887007356,75.44033815383796,15.073483554111354,77.10752669652436,13.180404421563038,75.19098549361021,7.748276711219641
