Filename,Orig_UCIQE,Orig_UIQM,SSR_UCIQE,SSR_UIQM,MSR_UCIQE,MSR_UIQM,MSRCR_UCIQE,MSRCR_UIQM
100_img_.png,61.54523270984659,13.26423966212108,32.375639314423026,5.9690918534321655,32.608826869030636,6.932184594561563,52.39173271606242,7.253707326332944
10139.png,56.26994563239442,10.599702569452882,25.54052727606316,3.514925483732516,30.082503106948298,4.563348127614458,49.1001401889625,6.3265755331764195
10151.png,59.750297322737076,15.320340582863965,33.590853741072884,5.1656754319967675,38.905275870636636,7.796142116725448,68.01020115745082,11.55376565980244
101_img_.png,68.74724415533181,15.636333302401871,45.60697129253819,4.022635592314559,48.19359436846586,4.976192819665897,66.32488920808744,5.758545916462947
102_img_.png,69.26858010927624,20.94201754688629,34.36888315342844,4.681198991662509,46.06095537547217,8.302847433877464,61.935064888408476,10.113639273196803
104_img_.png,70.81659663980403,9.327674926290193,34.57674813296722,2.7057366428286995,35.240895509736795,3.3641662239054146,39.55061453599153,4.277033223244713
105_img_.png,53.04590594025961,12.28908052222998,23.32135096460483,5.7188104525534476,26.04516583072033,8.283240452783014,42.708757141416974,8.456814845675037
106_img_.png,62.978894347720185,13.258587161421975,54.13124691587169,8.456336498223184,64.91076199266409,10.140863809246994,67.19355323877481,10.565044707130532
107_img_.png,58.2007371778115,11.294929687949187,25.769861840255142,5.829907723468166,38.72895382906921,7.209016423723,43.23853529713146,5.768255039454225
108_img_.png,72.99785995668586,11.142440382580995,57.949026058727114,4.050989162770682,62.67234015732953,4.950564689946643,64.75205930443684,5.882871754568105
10909.png,66.20497342148123,10.91226816385496,56.70921467879153,4.600125681555676,55.111373601094286,7.63471886208819,67.98100838991022,9.321314438238659
10945.png,48.71429618137458,6.947307423950425,59.86967925778971,5.234061266789232,57.65271718275325,6.679645478290066,59.503442447096106,6.683306583958844
109_img_.png,67.64619063842957,9.999507136744691,27.540520769553257,5.261813406940508,31.816657155305993,6.01894736946179,41.4924884864725,4.769504707194513
10_img_.png,59.83668456910669,10.211557726532119,21.210109989335773,4.85257812671888,26.329956718608965,5.614741731134331,44.129400782419395,5.7003266242965545
11052.png,68.95320876042014,15.582451138586096,60.70496872930299,6.420275734473896,60.26815570119898,8.176610417767002,71.0809483556389,9.9591326980368
11064.png,67.06748506265942,15.763195231613945,69.90233572081702,5.795089703215058,72.04210520499538,9.151610748751372,72.8321482068673,8.827712316201863
111_img_.png,48.52183099989656,12.896315427052555,24.193374345426633,4.5074055575413645,24.94246343795033,5.631504177417118,57.33131733103286,10.181073382492604
112_img_.png,50.956260405354655,9.260469409013464,21.160773650514408,2.4985063104257597,20.611172915464316,3.087764791383896,45.01502165971445,4.651086385975933
11374.png,65.00385641916499,13.270116976998894,26.122147992777432,4.0462555065735515,25.434322787965606,5.245810234563811,58.75230970705682,9.496846885960238
11398.png,66.44314134849056,15.440644026267725,26.74394075198365,4.920564858981323,29.9087162816542,7.160382943493887,59.1117271080101,10.765855699639005
113_img_.png,71.92215818897995,18.71297583502991,41.72320505247773,5.501203442963301,48.1341168831553,6.840548681619148,49.57656167989138,5.956298653136299
114_img_.png,74.67662140776724,19.489779818988914,63.99109166915736,6.894987857507949,61.82042601233123,8.835677141852162,65.34755743834029,8.304049482665633
115_img_.png,71.42193037114569,12.614892537908498,61.239187854152235,5.903741113987141,58.38612976683564,6.800648588204774,55.01261973266156,5.40469199452702
116_img_.png,71.96873684901664,15.207892528149833,45.16372487937869,5.251045396081976,45.073544642070146,6.1033413644350185,51.797417709015,6.820056574124148
117_img_.png,58.86531688350575,12.91171853089943,64.51772523851616,10.56900337875976,66.94222383293388,13.24857387436651,66.91324002168284,13.142120012279555
118_img_.png,51.99227097731751,10.72519947610056,68.55687469039061,8.837076499450575,68.67022289649978,11.760243731209314,70.07586253653521,11.906814880517365
