Filename,Orig_UCIQE,Orig_UIQM,MSF_UCIQE,MSF_UIQM,LAF_UCIQE,LAF_UIQM
100_img_.png,61.54523270984659,13.26423966212108,65.00145326765812,16.470116606746018,64.20420437087864,15.7302188828092
10139.png,56.26994563239442,10.599702569452882,66.45294410252961,15.895047562838512,59.069810426362196,10.996213009705626
10151.png,59.750297322737076,15.320340582863965,73.14745146909863,20.981423571380237,67.04806263729903,16.558762347363256
101_img_.png,68.74724415533181,15.636333302401871,72.30857357442054,17.340312213624017,68.62036846984579,16.512891301960813
102_img_.png,69.26858010927624,20.94201754688629,73.09926333948155,22.543923776626563,67.9560194484828,22.426033923566468
104_img_.png,70.81659663980403,9.327674926290193,69.5824352184838,12.454672562632568,69.35278175188941,10.173161635173258
105_img_.png,53.04590594025961,12.28908052222998,58.49693106319457,15.78072901906252,55.438077785637994,13.41456018655519
106_img_.png,62.978894347720185,13.258587161421975,75.92357142822388,25.15214590385862,73.10831923548594,19.08271565028798
107_img_.png,58.2007371778115,11.294929687949187,68.42194979259732,13.740688577971056,61.441144352812806,13.104181629024371
108_img_.png,72.99785995668586,11.142440382580995,72.8413270509335,13.52475944654167,71.499684515679,11.799637185543721
10909.png,66.20497342148123,10.91226816385496,72.47017799094985,16.674721284965695,69.74609111779917,12.527620098285713
10945.png,48.71429618137458,6.947307423950425,69.07777054325227,10.769411233580335,62.343177826423876,7.717728373810104
109_img_.png,67.64619063842957,9.999507136744691,70.03520962769788,15.599508466293841,68.72664924813387,11.129061006847179
10_img_.png,59.83668456910669,10.211557726532119,63.33731221828069,14.330324458376811,59.57018041855951,11.493210305753752
11052.png,68.95320876042014,15.582451138586096,79.34196544142115,22.342012132536873,75.36747613529974,17.009819549694885
11064.png,67.06748506265942,15.763195231613945,81.81053882857836,19.669974700951826,76.0952031537059,16.508618784747725
111_img_.png,48.52183099989656,12.896315427052555,62.02085254276892,17.700322358200488,52.72974443487492,12.999051086037458
112_img_.png,50.956260405354655,9.260469409013464,55.41297904098806,12.861074709234847,56.5452400746071,9.882305084339736
11374.png,65.00385641916499,13.270116976998894,68.04456108549442,22.146220384327016,65.06908465612402,14.356054519544902
11398.png,66.44314134849056,15.440644026267725,72.40846367352702,20.634322954535374,69.69485660005702,16.506211668999953
113_img_.png,71.92215818897995,18.71297583502991,74.69559575030448,20.632016159414665,69.5315692024817,20.228811268128506
114_img_.png,74.67662140776724,19.489779818988914,75.41614488732066,22.808047019232276,73.30118527328708,19.777185958876615
115_img_.png,71.42193037114569,12.614892537908498,74.4917345134233,17.25912921329332,70.23654103985355,13.243947428494282
116_img_.png,71.96873684901664,15.207892528149833,72.70765683866912,21.955887362607907,71.5039088706654,16.916438412544224
117_img_.png,58.86531688350575,12.91171853089943,63.65447400542988,21.918883300501264,68.20651486171148,15.385044623788135
118_img_.png,51.99227097731751,10.72519947610056,58.37890067837744,17.348906420205942,67.93083947118332,12.309212015975596
11_img_.png,78.25805959568541,14.74082596447163,78.72904769485126,20.17483198160057,75.9555724175101,17.107634873648628
120_img_.png,46.784222506914354,9.308913589846494,53.93054823706674,14.890511643072672,68.97672012569335,10.639701143509194
121_img_.png,71.85255905738198,19.863574208868336,74.17636383769747,25.515828905434475,71.62016916194632,20.600066569903294
1225.png,77.54696015852852,17.160333083243547,78.10073197609772,24.345917430161386,76.72732990990464,18.7285037723659
12290.png,67.80921065087806,11.769706011783747,71.23967118910883,17.775714555474483,69.48927859778813,12.777366832448822
12299.png,71.70886685374259,13.399640466486348,71.92327224227104,20.682736326622138,71.43601498898212,14.80841490826589
122_img_.png,48.00411023266628,8.937294581562961,56.20896604144946,15.40109939071734,65.73562468870708,10.873828620646005
12324.png,72.30823319771983,15.43879265631053,72.92072807095687,22.63005204166796,72.32864277212259,16.705350353157684
12336.png,74.02804757955539,11.969340371787986,73.7733146387402,18.30705978332352,73.58192951793687,12.985506214888192
12348.png,67.32975180395566,12.415252520360768,71.92230810299392,19.838613873934573,68.64966455681738,14.0644478683561
123_img_.png,48.468796723470376,12.09452103341799,56.634696746482845,20.881682111487443,63.570378153533504,14.529412025758365
12422.png,57.11331173619486,11.99430455879141,72.68971166104166,19.65884757581926,62.77432946164724,13.493588726608506
12433.png,70.76978874731171,17.656237507558945,71.67885416057017,22.56801711394109,69.81157109744989,18.040113087867965
12445.png,70.84209432072002,15.99224536968029,71.51576907949585,22.357802405491913,70.73808341955461,17.001787666993188
